C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_17_710.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_17_710.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_17_710.jpg,0,0,0,7.96E-05
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_17_823.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_17_823.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_17_823.jpg,0,0,0,7.82E-05
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_17_929.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_17_929.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_17_929.jpg,0,0,0,7.95E-05
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_18_029.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_18_029.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_18_029.jpg,-0.5158557,0.49649,0,0.5457965
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_18_136.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_18_136.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_18_136.jpg,-0.6030017,0.6901477,0,1.346633
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_18_259.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_18_259.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_18_259.jpg,0,0,0,1.347231
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_18_389.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_18_389.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_18_389.jpg,0,0,0,1.328353
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_18_517.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_18_517.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_18_517.jpg,-0.7191963,0.6223675,0,2.121716
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_18_645.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_18_645.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_18_645.jpg,-0.7772936,0.5642702,0,3.035467
C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\center_2017_01_23_07_04_18_752.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\left_2017_01_23_07_04_18_752.jpg,C:\Users\Matt\Documents\nanodegree\CarND-Behavioral-Cloning-P3\simulator\training_data\track1_slow_center\IMG\right_2017_01_23_07_04_18_752.jpg,0,0,0,2.961577
